0,1,2,3
A005930,삼성전자,0,54700
A000660,SK하이닉스,1,88600
A005935,삼성전자우,2,45000
A035420,NAVER,3,179500
A207940,삼성바이오로직스,4,395000
A012330,현대모비스,6,260500
A051910,LG화학,9,309000
A005490,POSCO,10,242500
A028260,삼성물산,12,104000
A051900,LG생활건강,13,1272000
A017670,SK텔레콤,14,241500
A034730,SK,15,260000
A000270,기아차,16,44450
A015760,한국전력,17,27450
A006400,삼성SDI,18,233500
A032830,삼성생명,20,75800
A096770,SK이노베이션,21,148000
A033780,KT&G,22,96000
A035720,카카오,23,151500
A003550,LG,24,74700
A000810,삼성화재,25,251000
A066570,LG전자,26,72000
A036570,엔씨소프트,27,542000
A090430,아모레퍼시픽,29,192500
A010950,S-Oil,30,94200
A009150,삼성전기,31,122000
A009540,한국조선해양,32,125000
A010130,고려아연,34,430000
A011170,롯데케미칼,35,227000
A251270,넷마블,36,90500
A069500,KODEX 200,37,29040
A030200,KT,39,27000
A002790,아모레G,41,78200
A021240,웅진코웨이,42,89300
A032640,LG유플러스,44,14200
A018880,한온시스템,45,11250
A034220,LG디스플레이,46,16350
A086280,현대글로비스,47,148000
A267250,현대중공업지주,48,343000
A000720,현대건설,50,43150
A078930,GS,51,51400
A029780,삼성카드,52,39500
A010140,삼성중공업,53,7140
A004020,현대제철,54,32100
A161390,한국타이어앤테크놀로지,56,34350
A088980,맥쿼리인프라,57,12050
A028300,에이치엘비,58,98400
A071050,한국금융지주,60,71500
A023530,롯데쇼핑,63,135000
A004990,롯데지주,64,37550
A139480,이마트,66,132000
A005940,NH투자증권,67,12950
A102110,TIGER 200,68,29045
A036460,한국가스공사,69,38250
A000120,CJ대한통운,70,154500
A128940,한미약품,71,295000
A241560,두산밥캣,72,33450
A016360,삼성증권,73,38150
A047810,한국항공우주,74,34750
A035760,CJ ENM,75,155400
A008770,호텔신라,76,85100
A011070,LG이노텍,79,133000
A009830,한화케미칼,81,18750
A042660,대우조선해양,82,27950
A000100,유한양행,83,234500
A005387,현대차2우B,84,81100
A007070,GS리테일,85,37800
A003410,쌍용양회,88,5740
A001040,CJ,89,95700
A282330,BGF리테일,90,161500
A003490,대한항공,92,27500
A122630,KODEX 레버리지,96,13690
A008930,한미사이언스,98,37050
